PomeroyRank,Team,Conf,TeamID,Season,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM
189,Denver,Sum,1176,2017,-1.41,107.7,109.2,66.8,-0.007,-3.65,103.9,107.5,-4.94
210,Denver,Sum,1176,2018,-4.23,102.6,106.8,66.4,0.026,-2.09,104.6,106.6,-3.34
47,Denver 3,WAC,1176,2013,14.3,110,95.7,57.5,-0.044,-0.09,102.8,102.9,3.7
170,DePaul,BE,1177,2010,-0.08,100,100.1,61.8,-0.038,8.58,107.3,98.7,-3.01
197,DePaul,BE,1177,2011,-3.28,103.1,106.4,68.3,-0.043,8.56,107.6,99,-5.78
150,DePaul,BE,1177,2012,1.69,108.5,106.9,71.4,-0.042,4.72,104.2,99.5,-9.74
174,DePaul,BE,1177,2013,-0.43,105.5,105.9,70.7,-0.049,5.76,104.2,98.4,-8.18
183,DePaul,BE,1177,2014,-1.19,106.1,107.3,65.6,0.032,8.44,109.5,101,-0.75
150,DePaul,BE,1177,2015,1.77,108.6,106.8,67,-0.001,7.69,108.3,100.6,-3.42
183,DePaul,BE,1177,2016,-1.69,104.5,106.2,66.9,0.004,9.38,109.4,100,1.02
183,DePaul,BE,1177,2017,-1.05,103.5,104.5,67.7,-0.069,6.99,108.8,101.8,-7.12
99,DePaul,BE,1177,2018,7.03,104.5,97.5,69.8,-0.103,9.79,111.2,101.5,-4.14
126,Detroit,Horz,1178,2010,4.58,101,96.4,67.5,-0.009,-0.68,103.1,103.7,-6.43
131,Detroit,Horz,1178,2011,3.17,107,103.8,69.7,-0.022,1.43,103.6,102.1,-0.27
195,Detroit,Horz,1178,2014,-2.23,101.4,103.6,66,-0.048,0.88,105.5,104.6,1
182,Detroit,Horz,1178,2015,-1.34,103.3,104.6,67.3,-0.008,0.91,106,105.1,4.35
173,Detroit,Horz,1178,2016,-0.9,110.6,111.5,73.7,0.024,-0.76,104.4,105.1,3.21
302,Detroit,Horz,1178,2017,-12.21,102.3,114.5,72.6,0.016,-1.37,103.7,105.1,2.32
319,Detroit,Horz,1178,2018,-14.2,102.6,116.8,72.4,-0.011,-2.07,103.6,105.7,4.64
115,Detroit 15,Horz,1178,2012,5.48,108.1,102.6,67.1,-0.008,0.35,102.2,101.8,1.14
77,Detroit 6,Horz,1178,2013,9.65,113.7,104.1,69,-0.044,2.65,103.2,100.5,7.63
169,Drake,MVC,1179,2010,-0.01,107.2,107.2,63,0.012,2.43,104.2,101.8,-4.71
201,Drake,MVC,1179,2011,-3.5,101.4,104.9,64.5,-0.01,0.41,103.1,102.7,-3.32
141,Drake,MVC,1179,2012,2.63,101.1,98.5,65.8,0.036,3.1,104.7,101.6,-0.51
118,Drake,MVC,1179,2013,4.55,107.2,102.6,67.4,0.002,5.89,106.5,100.6,1.78
187,Drake,MVC,1179,2014,-1.46,105,106.5,62.9,0.024,0.86,105.7,104.8,-0.03
275,Drake,MVC,1179,2015,-9.03,105.3,114.3,58.9,-0.027,2.66,104.5,101.9,2.05
262,Drake,MVC,1179,2016,-8.6,104.1,112.7,65.4,-0.101,0.1,102.4,102.3,-3.02
258,Drake,MVC,1179,2017,-8.17,103,111.1,69.7,-0.083,0.96,104,103.1,-3.43
155,Drake,MVC,1179,2018,1.09,105.9,104.8,68.4,0.016,2.22,105.4,103.2,-0.38
145,Drexel,CAA,1180,2010,2.74,100.5,97.7,63.6,0.001,1.82,104.3,102.5,3.67
93,Drexel,CAA,1180,2011,6.82,99.7,92.9,62.9,0.066,0.64,105.4,104.8,0.53
168,Drexel,CAA,1180,2013,0.08,102.1,102,60.5,-0.089,-0.75,102.9,103.6,4.2
129,Drexel,CAA,1180,2014,3.47,105.2,101.8,62.4,-0.032,0.37,105.7,105.4,6.42
250,Drexel,CAA,1180,2015,-7.24,99.3,106.5,60.7,0.003,-1.5,103.7,105.2,2.2
245,Drexel,CAA,1180,2016,-7.16,99.5,106.7,64.5,-0.026,2.78,106.3,103.5,1.71
250,Drexel,CAA,1180,2017,-7.19,102.9,110.1,70.3,-0.089,-1.26,104.6,105.8,-3.83
251,Drexel,CAA,1180,2018,-7.73,103,110.7,69,0.064,-2.16,105.4,107.5,-2.43
45,Drexel 3,CAA,1180,2012,13.53,109.9,96.4,60.4,0.024,-2.05,100.7,102.7,-2.31
1,Duke 1,ACC,1181,2010,33.29,121,87.7,64.7,0.009,11.53,107.9,96.4,2.5
2,Duke 1,ACC,1181,2011,28.42,119.7,91.3,68.6,0.017,8.43,107.3,98.9,3.48
3,Duke 1,ACC,1181,2015,32.48,124.5,92,65.8,0.067,11.17,110.7,99.5,1.31
19,Duke 2,ACC,1181,2012,19.7,117.7,98,66.4,0.057,8.18,107.3,99.1,7.68
6,Duke 2,ACC,1181,2013,26.98,119.1,92.1,66.7,0.033,9.95,108.4,98.5,6.85
14,Duke 2,ACC,1181,2017,24.17,121,96.8,68.3,0.014,11.43,111,99.6,0.03
3,Duke 2,ACC,1181,2018,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09
8,Duke 3,ACC,1181,2014,24.25,124.7,100.4,64.6,-0.035,8.76,109.2,100.5,2.4
17,Duke 4,ACC,1181,2016,21.87,121.9,100,67.7,-0.026,11.23,112,100.7,3.52
142,Duquesne,A10,1182,2010,2.82,102.5,99.7,69.6,0.027,4.26,103.9,99.7,-1.64
55,Duquesne,A10,1182,2011,13.36,108,94.7,70.9,-0.149,2.17,104.8,102.6,-0.08
124,Duquesne,A10,1182,2012,4.29,107.2,102.9,67.1,0.026,5.15,105.8,100.6,0.59
240,Duquesne,A10,1182,2013,-6.75,100.7,107.5,67.9,0.022,4.27,104.9,100.7,-0.35
152,Duquesne,A10,1182,2014,1.53,110.6,109,66.5,-0.053,1.68,104.4,102.7,-9.59
217,Duquesne,A10,1182,2015,-4.26,108.6,112.9,67.3,-0.015,1.03,103.7,102.7,-8.19
156,Duquesne,A10,1182,2016,0.72,107.6,106.9,72.9,-0.01,0.59,105.7,105.1,-7.59
224,Duquesne,A10,1182,2017,-5.32,101.9,107.3,70,-0.075,-1.27,103.1,104.3,-8.24
201,Duquesne,A10,1182,2018,-3.63,104.6,108.2,66.2,-0.059,-6.22,101.2,107.4,-16.97
232,East Carolina,CUSA,1187,2010,-6.53,101.9,108.4,66.9,-0.016,5.04,104.6,99.6,6.66
154,East Carolina,CUSA,1187,2011,1.41,105.3,103.9,65,0.028,2.6,104.4,101.8,-2.85
135,East Carolina,CUSA,1187,2012,3.23,104.6,101.4,65.1,-0.093,2.38,103.6,101.2,-4.57
125,East Carolina,CUSA,1187,2013,4.02,108.9,104.9,67.5,0.045,0.12,102.3,102.2,-3.26
239,East Carolina,CUSA,1187,2014,-5.88,106,111.8,63.7,0.008,-3.25,102.9,106.1,-6.45
224,East Carolina,Amer,1187,2015,-4.89,103.7,108.6,61.2,-0.002,0.04,103.2,103.2,-6.07
190,East Carolina,Amer,1187,2016,-2.7,103.2,105.9,67.2,-0.024,2.89,105.1,102.2,-4.25
191,East Carolina,Amer,1187,2017,-1.49,97,98.5,66.9,0.013,0.53,105,104.5,-10.91
307,East Carolina,Amer,1187,2018,-12.78,96.7,109.5,68.7,0.026,-2.46,102.9,105.3,-16.35
112,East Tennessee St.,ASun,1190,2011,5.16,104.1,98.9,64.3,0.03,-1.94,102.9,104.8,7.93
146,East Tennessee St.,ASun,1190,2012,2.21,101.8,99.6,64.1,-0.017,-0.73,104,104.7,0.1
319,East Tennessee St.,ASun,1190,2013,-15.69,95.1,110.8,63.4,0.063,-1.85,102.3,104.1,7.18
243,East Tennessee St.,ASun,1190,2014,-6.16,103.5,109.6,68.6,0.018,-7.75,101.5,109.2,-5.52
218,East Tennessee St.,SC,1190,2015,-4.29,103.2,107.5,67.7,0.036,-4.13,103.2,107.3,4.74
153,East Tennessee St.,SC,1190,2016,0.88,107.7,106.8,69.7,0.124,-1.48,105.3,106.8,3.3
93,East Tennessee St.,SC,1190,2018,7.49,105.3,97.8,67.6,0,-4.19,103.6,107.7,-1.54
67,East Tennessee St. 13,SC,1190,2017,11.1,108,96.9,70.1,0.005,-1.17,105.4,106.6,0.38
150,East Tennessee St. 16,ASun,1190,2010,2.47,100.9,98.4,66.8,-0.004,-1.26,102.1,103.3,8.97
211,Eastern Illinois,OVC,1183,2010,-3.9,100,103.9,63.3,0.089,-5.26,100.3,105.6,-4.34
304,Eastern Illinois,OVC,1183,2011,-13.32,93.1,106.4,62.7,-0.016,-4.11,102,106.1,-1.13
298,Eastern Illinois,OVC,1183,2012,-13.07,97.6,110.6,63.1,0.018,-6.67,99.7,106.3,-7.17
272,Eastern Illinois,OVC,1183,2013,-10.18,100,110.2,58.6,-0.033,-5.49,99.6,105.1,-3.73
300,Eastern Illinois,OVC,1183,2014,-13.28,98.7,112,64.2,0.03,-4.08,104.1,108.2,1.26
225,Eastern Illinois,OVC,1183,2015,-4.95,100.3,105.2,63.2,0.119,-1.2,104.4,105.6,2.87
266,Eastern Illinois,OVC,1183,2016,-9.34,100.5,109.8,67.2,0.046,-3.87,103.9,107.8,0.18
220,Eastern Illinois,OVC,1183,2017,-4.83,100.1,105,68.6,-0.049,-4.96,102.7,107.7,-3.33
257,Eastern Illinois,OVC,1183,2018,-8.14,99,107.1,65.5,0.009,-2.42,103.3,105.8,2.01
178,Eastern Kentucky,OVC,1184,2010,-0.6,110.7,111.3,61.2,-0.013,-6.28,99.7,106,-5.99
239,Eastern Kentucky,OVC,1184,2011,-6.56,102.3,108.9,60.8,-0.026,-6.28,99.5,105.8,-5.24
265,Eastern Kentucky,OVC,1184,2012,-8.94,100.7,109.7,61.4,0.054,-5.51,101.1,106.6,-4.33
110,Eastern Kentucky,OVC,1184,2013,5.39,110.7,105.3,63.9,0.028,-3.72,101.1,104.8,-4.37
129,Eastern Kentucky,OVC,1184,2015,3.46,106.3,102.8,63.5,-0.03,-4.84,102.3,107.1,-2.63
201,Eastern Kentucky,OVC,1184,2016,-3.58,107.4,111,72.1,-0.029,-4.72,103.4,108.1,-4.67
272,Eastern Kentucky,OVC,1184,2017,-9.44,98.4,107.9,67.6,0.015,-1.89,104.8,106.7,0.22
286,Eastern Kentucky,OVC,1184,2018,-10.96,101.7,112.6,68.6,0.017,-2.5,103.2,105.7,1.19
125,Eastern Kentucky 15,OVC,1184,2014,3.96,112.4,108.4,64.2,0.036,-4.97,104.1,109,-5.04
189,Eastern Michigan,MAC,1185,2010,-1.19,100.3,101.4,65.2,-0.01,-3.23,100.5,103.8,-3.46
283,Eastern Michigan,MAC,1185,2011,-10.75,89.5,100.3,66.1,-0.107,-3.28,101.1,104.4,-1.76
263,Eastern Michigan,MAC,1185,2012,-8.83,90.5,99.4,59.2,0.096,-0.97,102.4,103.4,2.54
233,Eastern Michigan,MAC,1185,2013,-5.94,93,99,58.9,0.017,-2.33,101.4,103.8,2.07
136,Eastern Michigan,MAC,1185,2014,3.17,98.5,95.3,63,0.019,0.36,105.4,105,8.94
138,Eastern Michigan,MAC,1185,2015,2.69,101.8,99.2,66,-0.001,-0.32,105.7,106,-4.35
150,Eastern Michigan,MAC,1185,2016,1.27,106.7,105.4,70.3,0.013,1.54,106.9,105.4,5.22
148,Eastern Michigan,MAC,1185,2017,1.2,106.1,104.9,68.1,-0.078,0.58,106.6,106,5.08
143,Eastern Michigan,MAC,1185,2018,2.31,102.3,100,65.1,-0.006,-2.49,105.4,107.9,-2.23
265,Eastern Washington,BSky,1186,2010,-10.36,96.4,106.8,67.9,-0.01,-0.21,104,104.2,2.98
262,Eastern Washington,BSky,1186,2011,-9.04,99.1,108.1,63.7,-0.031,-2.02,102.7,104.7,1.97
208,Eastern Washington,BSky,1186,2012,-3.49,101.4,104.9,67.6,-0.047,-3.05,103.3,106.4,5.29
299,Eastern Washington,BSky,1186,2013,-12.98,97.2,110.1,67,0.001,-6.59,100.8,107.4,-1.41
233,Eastern Washington,BSky,1186,2014,-5.56,105.7,111.3,69,-0.028,-5.44,103.2,108.7,6.45
197,Eastern Washington,BSky,1186,2016,-3.26,111.8,115.1,68.7,-0.045,-6.31,101.6,107.9,1.43
186,Eastern Washington,BSky,1186,2017,-1.25,109.6,110.8,66.7,0.082,-5.14,103,108.2,2.16
136,Eastern Washington,BSky,1186,2018,2.67,107.3,104.6,66.5,-0.004,0.11,105.4,105.2,6.2
133,Eastern Washington 13,BSky,1186,2015,3.25,112.9,109.6,68.2,0.067,-3.75,104.2,108,3.94
261,Elon,SC,1189,2010,-10.06,96.2,106.3,66.9,-0.022,-1.23,102.3,103.5,2.18
240,Elon,SC,1189,2011,-6.6,104.3,110.9,67.1,-0.015,-3.4,102.2,105.6,3.76
255,Elon,SC,1189,2012,-8.22,97.9,106.1,68.3,0.072,-4,101.1,105.1,5.98
206,Elon,SC,1189,2013,-3.51,99,102.5,64.8,0.055,-6.87,100,106.9,0.61
202,Elon,SC,1189,2014,-2.95,104.6,107.5,64.4,0.033,-4.75,103.4,108.2,5.35
249,Elon,CAA,1189,2015,-7.23,98.5,105.7,68,0.053,-3.2,104,107.2,-4.22
160,Elon,CAA,1189,2016,0.2,106.6,106.4,71.1,0.018,1.4,105.5,104.1,0.17
136,Elon,CAA,1189,2017,2.19,104.4,102.2,67.8,-0.021,-0.77,105.4,106.2,-1.75
248,Elon,CAA,1189,2018,-7.62,103.6,111.3,67.3,0.061,-0.95,105.3,106.3,2.4
220,Evansville,MVC,1191,2010,-5.31,97.8,103.1,65.4,-0.057,2.54,104.8,102.3,-8.66
168,Evansville,MVC,1191,2011,-0.15,101.9,102.1,66.2,0.044,2.34,104.5,102.2,1.02
119,Evansville,MVC,1191,2012,5.17,110.7,105.6,66.4,-0.023,3.19,104.6,101.4,-3.35
84,Evansville,MVC,1191,2013,8.08,106.4,98.3,64.6,-0.011,3.86,105.3,101.4,-2.62
211,Evansville,MVC,1191,2014,-4.19,103.1,107.3,65.6,0.007,1.26,105.4,104.2,-2.1
114,Evansville,MVC,1191,2015,5.25,106.6,101.3,66.2,0.039,-0.75,103.7,104.4,-5.22
72,Evansville,MVC,1191,2016,10.56,108.3,97.8,68.6,-0.011,-1.44,102.5,103.9,-4.77
154,Evansville,MVC,1191,2017,0.83,104.1,103.2,66.8,-0.024,1.09,104.7,103.6,-2.4
134,Evansville,MVC,1191,2018,2.85,99.3,96.5,65.7,0.015,1.38,105.4,104,-3.48
118,Fairfield,MAAC,1193,2010,5.36,106.7,101.3,65.7,0.045,-1.59,100.7,102.3,-7.06
113,Fairfield,MAAC,1193,2012,5.66,100.6,95,64,-0.066,-1.42,102.6,104,3.69
151,Fairfield,MAAC,1193,2013,1.2,98,96.8,60.5,-0.002,-1.18,101.9,103.1,-0.84
271,Fairfield,MAAC,1193,2014,-8.84,95.6,104.5,64.5,-0.019,-0.21,105.2,105.4,2.91
296,Fairfield,MAAC,1193,2015,-10.9,95.4,106.3,61.2,-0.085,-2.99,102.6,105.6,-1.87
208,Fairfield,MAAC,1193,2016,-4.06,103.8,107.9,71.4,0.101,-4.06,102.3,106.4,-1.65
204,Fairfield,MAAC,1193,2017,-3.3,99.8,103.1,69.2,0.038,-2.85,103.8,106.7,-2.55
212,Fairfield,MAAC,1193,2018,-4.37,102.1,106.4,70.5,0.051,-4.52,103,107.5,-0.9
104,Fairfield 6,MAAC,1193,2011,5.88,98.7,92.8,65.2,0.042,-4.56,100.2,104.7,-5.55
316,Fairleigh Dickinson,NEC,1192,2010,-17.42,92.2,109.6,67,0.054,-8.75,97.4,106.2,-1.97
324,Fairleigh Dickinson,NEC,1192,2011,-16.66,93.2,109.8,66.1,-0.025,-4.81,100.8,105.6,-2.32
335,Fairleigh Dickinson,NEC,1192,2012,-21.19,87.8,109,66.5,0.034,-3.99,101.5,105.5,-0.61
334,Fairleigh Dickinson,NEC,1192,2013,-20.47,94,114.5,66.1,0.029,-4.41,101.1,105.5,-0.56
282,Fairleigh Dickinson,NEC,1192,2014,-10.57,102.2,112.8,65,-0.017,-3,103.7,106.7,4.97
319,Fairleigh Dickinson,NEC,1192,2015,-15.07,97.4,112.5,67.4,0.053,-4.48,102.3,106.8,2.59
267,Fairleigh Dickinson,NEC,1192,2017,-8.78,103.1,111.9,69,-0.05,-5.02,100.5,105.6,7.64
274,Fairleigh Dickinson,NEC,1192,2018,-10.16,102.2,112.4,70.5,0.025,-5.59,102.1,107.7,5.93
280,Fairleigh Dickinson 16,NEC,1192,2016,-10.63,104.4,115,71.5,0.097,-9.44,98.7,108.1,-0.17
306,FIU,SB,1198,2010,-14.45,98.7,113.1,67.1,-0.018,-2.44,101.7,104.1,1.29
286,FIU,SB,1198,2011,-11.24,100.6,111.9,68.4,-0.013,-5.59,99.9,105.5,-2.98
228,FIU,SB,1198,2012,-5.45,99.4,104.9,63.7,-0.068,-0.4,102.3,102.7,3.01
188,FIU,SB,1198,2013,-1.39,101.6,102.9,67.8,0.07,-2.29,100.3,102.6,2.36
231,FIU,CUSA,1198,2014,-5.48,101.4,106.9,64.7,0.054,-2.55,103.3,105.9,-2.84
272,FIU,CUSA,1198,2015,-8.57,96,104.6,64.6,0.09,-3.13,101.8,104.9,-5.58
228,FIU,CUSA,1198,2016,-5.67,103.2,108.8,65.3,-0.127,-5.6,102.5,108.2,-6.46
276,FIU,CUSA,1198,2017,-9.62,102.9,112.5,65,-0.171,-3.96,102,105.9,-4.87
222,FIU,CUSA,1198,2018,-5.33,98.4,103.7,69,-0.039,-3.16,103,106.1,-6.95
34,Florida,SEC,1196,2015,15.39,107.3,91.9,62.7,-0.117,10.08,109.5,99.4,4.19
333,Florida A&M,MEAC,1197,2010,-20.95,92.8,113.7,67,0.054,-7.74,97.3,105,1.93
325,Florida A&M,MEAC,1197,2011,-18.59,88.5,107.1,66.4,0.006,-9.83,97.1,106.9,1.52
317,Florida A&M,MEAC,1197,2012,-17.29,93.4,110.6,67.8,0.039,-6.08,98.9,104.9,1.42
328,Florida A&M,MEAC,1197,2013,-18.34,89.5,107.9,67.5,0.003,-5.29,97.7,103,1.98
297,Florida A&M,MEAC,1197,2014,-13.19,94.9,108.1,70,0.05,-8.01,99.8,107.9,-0.98
350,Florida A&M,MEAC,1197,2015,-31.73,85.4,117.1,65.3,-0.02,-8.5,99.4,107.9,-2.52
349,Florida A&M,MEAC,1197,2016,-24.58,83.7,108.3,69.4,0.041,-11.11,99.4,110.5,-4.23
345,Florida A&M,MEAC,1197,2017,-22.61,93.6,116.2,69.3,-0.085,-13.29,97.6,110.8,-4.68
341,Florida A&M,MEAC,1197,2018,-21.21,95.6,116.8,67.1,0.04,-7.55,101,108.6,6.38
206,Florida Atlantic,SB,1194,2010,-3.36,103.8,107.2,67.7,-0.038,-2.84,101.5,104.4,5.41
201,Florida Atlantic,SB,1194,2012,-2.99,101.5,104.4,63.4,-0.048,1.74,103.3,101.6,8.65
235,Florida Atlantic,SB,1194,2013,-6.11,99.5,105.7,63.8,0.012,-3.61,99.9,103.6,-0.82
244,Florida Atlantic,CUSA,1194,2014,-6.4,101.1,107.5,63,-0.085,-1.01,104.4,105.4,1.13
290,Florida Atlantic,CUSA,1194,2015,-10.28,98.7,109,63.9,-0.053,-2.27,102.4,104.7,-2.59
293,Florida Atlantic,CUSA,1194,2016,-12.36,95.7,108.1,67.5,-0.033,-1.38,105.4,106.8,4.72
271,Florida Atlantic,CUSA,1194,2017,-9.33,98.6,107.9,68.9,-0.037,-2.7,103.2,105.9,-1.66
233,Florida Atlantic,CUSA,1194,2018,-6.1,95.9,102,69.2,-0.025,-0.28,104.8,105.1,-0.38
186,Florida Atlantic 7,SB,1194,2011,-1.94,102.9,104.8,62.4,0.134,-2.9,103,105.9,3.44
301,Florida Gulf Coast,ASun,1195,2010,-13.84,94.8,108.6,66.6,0.008,-5.31,99.3,104.6,-5.34
285,Florida Gulf Coast,ASun,1195,2011,-11.11,94.7,105.8,67.5,-0.001,-3.74,101.4,105.2,-1.99
176,Florida Gulf Coast,ASun,1195,2012,-0.88,105.2,106.1,66.5,-0.028,-0.5,103.4,103.9,-2.22
190,Florida Gulf Coast,ASun,1195,2015,-1.92,101.6,103.6,64.2,0.044,-6.76,102.1,108.9,1.54
108,Florida Gulf Coast 14,ASun,1195,2017,5.07,109.4,104.4,65.9,0.037,-4.8,103.7,108.5,2.14
105,Florida Gulf Coast 15,ASun,1195,2013,6.27,104.9,98.6,67.9,0.039,-2.79,101.3,104.1,4.57
162,Florida Gulf Coast 16,ASun,1195,2016,-0.08,103.6,103.7,67,-0.038,-5.83,104.1,110,-1.87
127,Florida Gulf Coast 7,ASun,1195,2018,3.47,107.5,104,71.6,-0.059,-6.95,102.4,109.3,-0.65
182,Florida Gulf Coast 8,ASun,1195,2014,-1.08,100,101.1,66.2,0.011,-7.17,102.6,109.8,-2.98
99,Florida St.,ACC,1199,2015,6.37,105.6,99.3,65.9,0.038,5.95,107.6,101.6,-4.74
38,Florida St. 1,ACC,1199,2014,14.86,112.2,97.4,65.2,-0.005,9.31,109.4,100.1,2.05
35,Florida St. 10,ACC,1199,2011,16.76,104.5,87.7,66.7,-0.017,7.01,107.1,100.1,-1.82
24,Florida St. 3,ACC,1199,2012,17.14,107.6,90.4,66.6,0.034,7.54,106.9,99.4,0.82
26,Florida St. 3,ACC,1199,2017,20.06,115.5,95.5,71.3,0.039,8.82,110.6,101.8,-3.95
120,Florida St. 4,ACC,1199,2013,4.45,107.1,102.7,64.2,0.085,6.95,105.6,98.7,-1.09
48,Florida St. 4,ACC,1199,2016,14.26,113.1,98.9,71.6,-0.02,9.52,110.2,100.7,-1.82
33,Florida St. 9,ACC,1199,2010,18.02,105,87,65.3,0.009,9.01,107.3,98.3,-2.88
27,Florida St. 9,ACC,1199,2018,17.77,114.3,96.5,71.2,-0.029,9.27,109.6,100.3,-6.91
3,Florida 1,SEC,1196,2014,28.57,116.5,88,61.3,0.053,9.02,109.4,100.4,2.39
50,Florida 10,SEC,1196,2010,15.23,113,97.8,63.9,-0.061,7.75,106.6,98.8,-1.96
17,Florida 2,SEC,1196,2011,20.61,115.8,95.2,62.5,0.038,7.73,106.8,99.1,1.55
35,Florida 2,SEC,1196,2016,16.64,110.5,93.9,69.2,-0.056,10.21,110.7,100.5,6.76
2,Florida 3,SEC,1196,2013,31.18,117.2,86,61.9,-0.089,7,105.6,98.6,4.09
5,Florida 4,SEC,1196,2017,27.5,116.9,89.5,69,-0.041,12.46,110.3,97.8,8.19
22,Florida 6,SEC,1196,2018,18.96,114.5,95.5,67.1,-0.059,10.74,110.2,99.5,4.57
10,Florida 7,SEC,1196,2012,22.47,120.4,98,64.2,-0.043,7.18,105.4,98.2,-1.67
305,Fordham,A10,1200,2010,-14.41,93.3,107.7,70.5,-0.046,4.55,104.7,100.2,-1.64
290,Fordham,A10,1200,2011,-11.72,98,109.8,66.2,0.013,1.2,104,102.8,-5.56
270,Fordham,A10,1200,2012,-9.21,94.8,104,66.4,0.072,2.62,104.5,101.9,-4.39
252,Fordham,A10,1200,2013,-7.82,100.2,108,67.3,0.027,6.89,105.8,98.9,5.03
201,Fordham,A10,1200,2014,-2.86,108.8,111.7,67.5,-0.035,5.09,105.9,100.8,-3.67
208,Fordham,A10,1200,2015,-3.49,102,105.5,65.4,-0.06,2.63,104,101.4,-4.76
161,Fordham,A10,1200,2016,-0.06,102.3,102.4,66.4,0,-2.26,104.1,106.3,-15.7
202,Fordham,A10,1200,2017,-3.05,97,100,64.3,-0.023,0.87,104.8,103.9,-3.14
292,Fordham,A10,1200,2018,-11.63,94.5,106.1,66,0.009,-0.38,104.5,104.9,-5.39
153,Fort Wayne,Sum,1236,2017,0.84,108.8,108,71.6,-0.025,-3.36,105.4,108.7,-4.33
165,Fort Wayne,Sum,1236,2018,0.5,107.7,107.2,72.6,-0.072,-2.49,104.4,106.9,-2.21
165,Fresno St.,WAC,1201,2010,0.58,100.1,99.5,65.4,-0.032,1.36,104.4,103,-1.61
177,Fresno St.,WAC,1201,2011,-0.97,101.9,102.9,65.5,-0.033,0.03,103.1,103,-2.83
179,Fresno St.,WAC,1201,2012,-1.41,101.4,102.8,61.7,-0.09,0.63,104.2,103.6,0.24
109,Fresno St.,MWC,1201,2013,5.46,100,94.5,60.5,-0.062,9.1,107.7,98.6,4.39
116,Fresno St.,MWC,1201,2014,5.05,110.2,105.2,65.7,0.013,3.86,106.2,102.3,5.2
203,Fresno St.,MWC,1201,2015,-2.92,102.8,105.7,64.9,0.068,1.53,103.7,102.1,-0.26
79,Fresno St.,MWC,1201,2018,10.07,109.7,99.6,66.6,-0.057,0.84,105.8,105,-6.31
108,Fresno St. 14,MWC,1201,2016,6.63,107.4,100.8,69,0.085,1.65,105.3,103.7,-2.89
98,Fresno St. 5,MWC,1201,2017,6.37,104.6,98.2,68.5,-0.001,2.5,105.8,103.3,-2.36
234,Furman,SC,1202,2010,-6.86,98,104.8,67.5,-0.046,-5.36,99.5,104.9,-7.87
142,Furman,SC,1202,2011,2.44,105.3,102.9,62.8,0.06,-2.59,103,105.6,2.08
247,Furman,SC,1202,2012,-6.85,98.1,105,63.9,0.014,-4.06,101.3,105.3,-0.06
342,Furman,SC,1202,2013,-23.3,91.7,115,63.7,-0.007,-6.25,99.5,105.7,-1.19
342,Furman,SC,1202,2014,-20.69,94.9,115.6,63.7,-0.002,-8.06,101.1,109.2,-2.87
309,Furman,SC,1202,2015,-13.18,98.3,111.5,62.4,-0.024,-4.21,103.5,107.7,2.4
175,Furman,SC,1202,2016,-1.01,105,106,65,-0.024,-3.64,103.2,106.8,-1.48
106,Furman,SC,1202,2017,5.21,107,101.7,66.1,0.01,-1.5,104.6,106.1,0.19
95,Furman,SC,1202,2018,7.41,108.9,101.5,68.6,-0.005,-4.53,103.1,107.6,-0.73
331,Gardner Webb,BSth,1205,2010,-20.81,90.1,111,69.7,-0.004,-6.88,98.8,105.6,9.36
270,Gardner Webb,BSth,1205,2011,-9.79,95.2,105,63.3,-0.016,-1.31,102.1,103.4,6.82
269,Gardner Webb,BSth,1205,2012,-9.2,95.3,104.6,63.9,-0.031,-4.46,102,106.4,-0.43
190,Gardner Webb,BSth,1205,2013,-1.63,98,99.6,61.5,-0.044,-7.19,99.6,106.8,-1.03
247,Gardner Webb,BSth,1205,2014,-6.59,99,105.6,64.8,0.005,-7.75,102.8,110.5,-1.21
212,Gardner Webb,BSth,1205,2015,-3.84,107.6,111.4,67.4,0.085,-1.92,103.9,105.8,6.81
236,Gardner Webb,BSth,1205,2016,-6.02,100.7,106.8,69,0.045,-3.93,103.6,107.6,7.66
181,Gardner Webb,BSth,1205,2017,-0.76,102.7,103.5,70.8,-0.041,-5.65,101.5,107.1,4.28
261,Gardner Webb,BSth,1205,2018,-8.52,97.6,106.1,67.7,0.021,-2.87,103.1,106,6.54
162,George Mason,CAA,1206,2010,0.91,102.8,101.9,64.6,0.049,0.72,102.7,101.9,-1.22
110,George Mason,CAA,1206,2012,6.08,104.2,98.1,67.1,0.048,-2.2,101,103.2,-3.96
133,George Mason,CAA,1206,2013,3.21,103.5,100.3,65.6,-0.007,-0.41,103.2,103.6,5.15
141,George Mason,A10,1206,2014,2.67,105.8,103.2,65,-0.036,5.64,107.7,102.1,1.77
205,George Mason,A10,1206,2015,-3.08,102.9,106,64,-0.032,4.64,105.8,101.1,2.98
198,George Mason,A10,1206,2016,-3.32,101.5,104.8,67.8,-0.005,3.41,106.7,103.3,0.39
123,George Mason,A10,1206,2017,3.14,107.3,104.2,68.8,0.027,0.53,103.5,103,-3.55
220,George Mason,A10,1206,2018,-5.17,102.1,107.3,69.1,0.117,-0.68,105.2,105.9,-3.59
24,George Mason 8,CAA,1206,2011,18.3,114.1,95.8,64.5,0.028,2.06,105,103,0.66
122,George Washington,A10,1203,2010,5.15,103.4,98.3,67,-0.044,2.48,103.9,101.5,-4.3
